Time(s),X(m),Y(m),Z(m),Pitch(deg),Roll(deg),Yaw(deg)
10.77,58.92,-2.72,-5.57,5.00,0.00,-5.00
10.88,59.50,-2.77,-5.63,2.00,0.00,-5.00
10.99,59.50,-2.77,-5.63,-2.00,0.00,-5.00
11.09,59.50,-2.77,-5.63,-5.00,0.00,-5.00
11.20,59.50,-2.77,-5.63,-5.00,0.00,-1.00
11.31,59.49,-2.21,-5.63,-5.00,0.00,3.00
11.42,59.43,-1.05,-5.63,-1.00,0.00,3.00
11.53,59.43,-1.05,-5.63,3.00,0.00,3.00
11.64,59.43,-1.05,-5.63,7.00,0.00,2.00
11.75,59.43,-1.05,-5.63,9.00,0.00,-1.00
11.86,59.43,-1.05,-5.63,9.00,0.00,3.00
11.97,59.43,-1.05,-5.63,9.00,0.00,3.00
12.08,59.43,-1.05,-5.63,9.00,0.00,-1.00
12.18,59.43,-1.05,-5.63,12.00,0.00,-1.00
12.29,60.49,-1.07,-5.85,12.00,0.00,0.00
12.40,61.60,-1.04,-6.06,8.00,0.00,2.00
12.51,62.73,-1.00,-6.19,4.00,0.00,3.00
12.62,63.58,-0.94,-6.23,1.00,0.00,6.00
12.73,64.46,-0.84,-6.23,-3.00,0.00,7.00
12.84,64.76,-0.79,-6.20,-5.00,0.00,11.00
12.95,65.65,-0.61,-6.13,-3.00,0.00,10.00
13.05,66.67,-0.45,-6.10,1.00,0.00,7.00
13.16,67.55,-0.33,-6.13,2.00,0.00,10.00
13.27,68.47,-0.15,-6.16,2.00,0.00,13.00
13.38,68.47,-0.15,-6.16,2.00,0.00,16.00
13.49,68.76,-1.05,-6.16,1.00,0.00,18.00
13.60,68.86,-1.36,-6.16,-2.00,0.00,15.00
13.71,68.86,-1.36,-6.16,-4.00,0.00,13.00
13.82,68.97,-1.98,-6.16,-4.00,0.00,9.00
13.92,69.40,-2.52,-6.13,-3.00,0.00,12.00
14.03,70.57,-2.25,-6.10,1.00,0.00,13.00
14.14,71.51,-2.02,-6.14,3.00,0.00,16.00
14.25,72.68,-1.65,-6.20,3.00,0.00,20.00
14.36,73.60,-1.30,-6.25,3.00,0.00,23.00
14.46,74.52,-0.89,-6.30,1.00,0.00,25.00
14.57,75.70,-0.33,-6.29,-3.00,0.00,26.00
14.68,76.58,0.11,-6.22,-5.00,0.00,29.00
14.79,77.52,-0.15,-6.16,-5.00,0.00,32.00
14.90,77.69,-0.42,-6.16,-3.00,0.00,33.00
15.00,78.23,-1.25,-6.16,-2.00,0.00,35.00
15.11,78.23,-1.25,-6.16,-2.00,0.00,33.00
15.23,78.23,-1.25,-6.16,-0.00,0.00,31.00
15.33,78.23,-1.25,-6.16,4.00,0.00,33.00
15.44,78.49,-1.07,-6.19,7.00,0.00,35.00
15.55,79.30,-0.50,-6.33,8.00,0.00,35.00
15.66,80.14,0.09,-6.47,8.00,0.00,35.00
15.77,81.20,0.83,-6.65,6.00,0.00,35.00
15.88,82.05,1.43,-6.74,3.00,0.00,35.00
15.99,82.87,2.00,-6.77,1.00,0.00,35.00
16.10,83.68,2.57,-6.79,1.00,0.00,35.00
16.20,84.76,3.32,-6.81,1.00,0.00,33.00
16.31,85.59,3.84,-6.83,1.00,0.00,30.00
16.42,85.88,4.00,-6.83,1.00,0.00,27.00
16.53,86.27,3.15,-6.83,1.00,0.00,23.00
16.64,86.64,2.25,-6.83,1.00,0.00,20.00
16.75,86.64,2.25,-6.83,1.00,0.00,17.00
16.85,87.57,1.20,-6.85,1.00,0.00,13.00
16.96,88.47,1.39,-6.86,1.00,0.00,10.00
17.07,89.41,0.64,-6.88,1.00,0.00,8.00
17.18,90.56,0.78,-6.90,1.00,0.00,5.00
17.29,91.71,0.88,-6.92,1.00,0.00,6.00
17.40,92.66,0.44,-6.93,1.00,0.00,9.00
17.51,93.93,-0.22,-6.94,-2.00,0.00,9.00
