Model,Flight Distance,Holes Reached
a2c_naturecnn_depth,17.466871347427368,4
a2c_naturecnn_depth_obstacle_weather_leavesfalling,14.112041475772857,3
a2c_naturecnn_depth_obstacle_weather_rainandfog,14.673074960708618,4
a2c_naturecnn_depth_obstacle_weather_snowonly,14.631020362377166,3
a2c_naturecnn_multi_rgb,9.454301471710204,2
a2c_naturecnn_single_rgb,7.780390129089356,1
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,10.612867450714111,2
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,5.4519510841369625,1
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,6.012845306396485,1
ppo_naturecnn_depth,8.741044669151306,2
ppo_naturecnn_depth_obstacle_weather_leavesfalling,16.319154679775238,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,16.993986079692842,4
ppo_naturecnn_depth_obstacle_weather_snowonly,13.897953491210938,3
ppo_naturecnn_multi_rgb,9.029816017150878,2
ppo_naturecnn_single_rgb,8.215889263153077,2
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,10.070889625549317,2
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,4.552487497329712,0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,7.712460441589355,1
